"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы IT-конференции в 2016 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2017?","Кто вы?"
"2016/12/13 10:13:23 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Outsource People 2016 Kyiv","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/13 10:13:51 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/13 10:19:24 ДП GMT+2","Отмена седьмой волны мобилизации","Да","","KharkivCSS","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/13 10:36:23 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","JavaScript Frameworks Day","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/13 10:38:58 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/13 10:51:26 ДП GMT+2","Отмена седьмой волны мобилизации","Да","","WebCamp 2016","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/13 10:53:09 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Agile EE Conference","SQLSaturday 2016","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/13 11:03:57 ДП GMT+2","Отмена седьмой волны мобилизации","Да","IT Weekend Ukraine","JavaScript Frameworks Day","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/13 11:10:35 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/13 11:12:52 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/13 11:15:16 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/13 11:50:27 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/13 11:52:36 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/13 11:55:14 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/13 12:06:11 ПП GMT+2","Появление ""Неприличное.ит""","Да","QA Fest 2016","HackIT Ukraine 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/13 12:08:51 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/13 12:25:09 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/13 12:25:49 ПП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/13 12:26:42 ПП GMT+2","Появление ""Неприличное.ит""","Да","Games Gathering 2016","ITEM-2016","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/13 12:47:28 ПП GMT+2","Продолжение обысков в IT-компаниях","Да","QA Fest 2016","WebCamp 2016","Неудачный год, все плохо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/13 12:54:13 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/13 12:56:48 ПП GMT+2","Продолжение обысков в IT-компаниях","Да","Lviv IT Arena 2016","ITEM-2016","Неудачный год, все плохо","Все плохо, пора валить","Синьор (5-10 лет опыта)"
"2016/12/13 12:57:21 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","ITEM-2016","Неудачный год, все плохо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
